N0,N69,N96,N108,N154,N187,N193,N202,[Factor_0]
Not Healthy or Treatment Control,0.034790174,0.057169788,-7.34E-01,-7.34E-01,0.034790174,1.529265124,1.529265124,Cluster 2
Not Healthy or Treatment Control,-1.16E+00,0.991748761,0.987894147,-1.16E+00,-8.64E-01,-8.64E-01,0.991748761,Cluster 1
Not Healthy or Treatment Control,0.010169666,0.574822218,-8.50E-01,1.232622588,-8.50E-01,-8.50E-01,-8.50E-01,Cluster 1
Not Healthy or Treatment Control,0.129469226,0.448926376,-5.94E-01,-5.94E-01,0.129469226,0.448926376,2.070250969,Cluster 1
Not Healthy or Treatment Control,-3.73E-02,0.94169044,-1.01E+00,-1.98E-01,-1.01E+00,0.94169044,0.94169044,Cluster 1
Not Healthy or Treatment Control,0.31286098,0.731096286,0.31286098,-7.16E-01,0.731096286,-1.14E+00,0.731096286,Cluster 1
Not Healthy or Treatment Control,-1.29E+00,0.467712072,0.150121827,-7.64E-01,-1.29E+00,0.467712072,2.223729109,Cluster 1
Not Healthy or Treatment Control,-5.95E-01,1.159972952,0.361025933,-5.95E-01,-9.92E-01,-9.92E-01,3.312086155,Cluster 1
Not Healthy or Treatment Control,-9.36E-01,1.245879828,0.752545588,-9.36E-01,-8.93E-01,-8.93E-01,-8.93E-01,Cluster 1
Not Healthy or Treatment Control,-2.06E-01,0.925900148,-2.06E-01,-1.10E-01,-1.03E+00,0.925900148,2.88280151,Cluster 1
Not Healthy or Treatment Control,-3.53E-01,-8.07E-01,-8.07E-01,1.527751932,0.263367409,-8.07E-01,-8.07E-01,Cluster 2
Not Healthy or Treatment Control,-1.31E+00,0.792756474,1.152295669,1.152295669,-8.64E-01,-8.64E-01,-8.64E-01,Cluster 1
Not Healthy or Treatment Control,0.439271201,-1.06E+00,0.439271201,-8.07E-01,-1.06E+00,1.081396681,-1.06E+00,Cluster 1
Not Healthy or Treatment Control,-1.11E-01,0.805649793,-1.11E-01,-2.03E-01,-1.06E+00,-1.06E+00,0.805649793,Cluster 1
Not Healthy or Treatment Control,-1.38E+00,-8.09E-01,1.310880882,1.310880882,-8.09E-01,-8.09E-01,-8.09E-01,Cluster 1
Not Healthy or Treatment Control,1.033618444,-8.88E-01,-8.88E-01,1.033618444,-8.88E-01,1.033618444,-8.88E-01,Cluster 1
Not Healthy or Treatment Control,-1.38E+00,0.635039916,-9.17E-01,1.076517953,-9.17E-01,-9.17E-01,-9.17E-01,Cluster 1
Not Healthy or Treatment Control,-1.37E+00,0.661921089,1.242007015,1.242007015,0.661921089,-8.54E-01,0.661921089,Cluster 1
Not Healthy or Treatment Control,-1.42E+00,0.607456571,-1.00E+00,1.110397604,0.607456571,-1.00E+00,-1.00E+00,Cluster 1
Not Healthy or Treatment Control,-1.33E+00,0.752630013,1.03701103,1.03701103,-8.95E-01,-8.95E-01,-8.95E-01,Cluster 1
Not Healthy or Treatment Control,0.289838658,0.955018442,0.289838658,-7.04E-01,0.289838658,0.955018442,0.955018442,Cluster 1
Not Healthy or Treatment Control,0.076956865,0.378389603,-6.61E-01,-6.61E-01,0.076956865,0.378389603,2.033976549,Cluster 1
Not Healthy or Treatment Control,-5.27E-02,0.830735967,-4.31E-01,-4.31E-01,-5.27E-02,0.830735967,0.830735967,Cluster 1
Not Healthy or Treatment Control,0.153827513,0.92552232,0.153827513,-4.64E-01,-1.02E+00,-1.02E+00,0.92552232,Cluster 1
Not Healthy or Treatment Control,-8.83E-01,1.135073852,0.53994037,-8.83E-01,-9.98E-01,-9.98E-01,1.135073852,Cluster 1
Not Healthy or Treatment Control,-1.34E+00,0.09956057,-1.19E+00,-1.19E+00,0.55759953,0.09956057,1.54405433,Cluster 1
Not Healthy or Treatment Control,-1.33E+00,0.327228645,-8.34E-01,-8.34E-01,0.214079098,0.327228645,0.327228645,Cluster 1
Not Healthy or Treatment Control,0.282131492,0.514952141,0.282131492,-8.28E-01,-1.25E+00,-1.25E+00,2.277307981,Cluster 1
Not Healthy or Treatment Control,0.718240965,0.785093519,0.718240965,-1.21E+00,-1.14E+00,-1.14E+00,-1.14E+00,Cluster 1
Not Healthy or Treatment Control,0.660663755,0.530924799,0.660663755,-1.18E+00,0.660663755,0.530924799,0.530924799,Cluster 1
Not Healthy or Treatment Control,-1.09E+00,0.619361278,-1.01E+00,-1.01E+00,-1.09E+00,0.619361278,0.619361278,Cluster 1
Not Healthy or Treatment Control,-1.35E+00,0.768429785,1.153333731,1.153333731,-9.13E-01,-9.13E-01,-9.13E-01,Cluster 1
Not Healthy or Treatment Control,-1.87E-01,0.403875799,-8.00E-01,1.372417476,0.403875799,-8.00E-01,1.372417476,Cluster 2
Not Healthy or Treatment Control,-5.97E-01,0.947602416,0.190736152,-5.97E-01,-1.07E+00,0.947602416,0.947602416,Cluster 1
Not Healthy or Treatment Control,0.150208103,1.765804905,0.150208103,0.612262188,0.150208103,0.23195017,1.765804905,Cluster 1
Not Healthy or Treatment Control,0.200047971,1.813488983,-7.37E-01,0.636724935,0.200047971,0.283130081,1.813488983,Cluster 1
Not Healthy or Treatment Control,-9.86E-01,0.905404323,0.567331265,-9.86E-01,-1.05E+00,-1.05E+00,0.905404323,Cluster 1
Not Healthy or Treatment Control,-2.68E-01,0.548337474,-1.22E-01,-1.22E-01,-1.19E+00,0.548337474,2.286724653,Cluster 1
Not Healthy or Treatment Control,-3.43E-01,-7.39E-01,-7.39E-01,1.47888446,0.307108948,1.47888446,-7.39E-01,Cluster 2
Not Healthy or Treatment Control,-3.39E-03,0.751401288,-5.28E-01,-5.28E-01,-3.39E-03,0.751401288,0.751401288,Cluster 1
Not Healthy or Treatment Control,-1.24E+00,0.062823933,-1.14E+00,-1.14E+00,-1.14E+00,0.062823933,1.369335008,Cluster 1
Not Healthy or Treatment Control,-1.03E+00,-8.88E-01,0.915031815,0.915031815,1.004070687,-8.88E-01,-8.88E-01,Cluster 2
Not Healthy or Treatment Control,-1.00E+00,0.961199192,0.437600323,-8.09E-01,-1.00E+00,-1.00E+00,0.961199192,Cluster 1
