Serrated CRC,Serrated CRC,Serrated CRC,Serrated CRC,Serrated CRC,Serrated CRC,Serrated CRC,Serrated CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC,Conventional CRC
3.364572432,4.590961241,3.807354922,4.716990894,4.64385619,5.314696526,3.817623258,3.87774425,3.498250868,3.321928095,3.321928095,3.321928095,4.209453366,3.632268215,3.321928095,5.213347282,4.321928095,3.321928095,3.321928095,3.560714954,3.321928095,4.263034406,5.847996907,4.169925001,4.053111336,4.649615459,8.475328123,5.623515741,3.321928095,3.722466024,4.944858446,5.197708158,6.157852169,4.03562391,4.145677455,4.560714954,3.459431619
6.777419716,7.361943774,6.226893814,5.997744026,5.655351829,5.663913842,4.145677455,6.197708158,7.346956889,7.780047576,8.55880334,5.62058641,6.649615459,5.161887682,7.05202456,8.078417702,8.188836073,7.6794801,8.791162889,7.937815169,8.030667136,7.659639187,7.903279342,7.050936965,5.765534746,5.875288598,8.121533517,5.899659026,7.131342539,7.351380981,8.284939742,6.226893814,7.539158811,5.822730148,8.706323333,6.669593751,7.871597266
7.476543706,6.129283017,8.027353134,7.115823977,7.553821257,7.182890893,4.857980995,6.388878339,6.716990894,4.560714954,5.10433666,3.99095486,4.64385619,7.863566829,6.193771743,6.008988783,4.510961919,6.997744026,4.807354922,7.938991439,6.431288654,6.73470962,4.439623138,6.738767837,5.799605422,4.321928095,9.583082768,5.984133595,5.807354922,8.334496768,8.093813673,6.496654083,8.968378801,7.812498225,7.161887682,7.647458426,6.089582893
10.0986901,9.736909238,10.5685262,8.687200695,9.880195729,10.31333656,10.83407595,9.858913471,7.925406083,7.576673293,9.944126373,6.924812504,8.564911611,7.721099189,10.38510743,8.414050945,5.845490051,9.266552318,9.622966945,7.700439718,10.54380518,7.250772132,7.999436337,9.250298418,9.844548856,9.849717846,9.401306206,7.880195729,9.5072,9.486835022,9.46760555,8.30560579,10.25349297,9.622600964,9.859845344,10.25762356,9.722295241
5.300123725,5.786596362,5.523561956,5.465974465,3.523561956,3.321928095,3.321928095,5.678071905,5.321928095,3.321928095,5.711494907,3.321928095,3.321928095,3.847996907,4.968090752,3.321928095,6.123086751,3.321928095,5.259272487,5.867896464,3.321928095,3.321928095,3.321928095,5.658211483,3.321928095,3.321928095,4.722466024,6.187846909,3.963474124,6.46760555,6.087462841,3.321928095,6.482202926,5.817623258,3.321928095,3.321928095,5.462706751
6.061776198,5.820178962,5.303780748,3.321928095,6.407692649,6.102238194,6.22881869,6.232660757,5.022367813,3.321928095,3.321928095,5.719731057,5.485426827,4.892391026,3.700439718,5.632268215,5.99095486,4.217230716,6.574404309,4.432959407,6.48703608,5.760220946,3.419538892,6.437960088,7.037821465,3.321928095,5.189824559,3.321928095,4.378511623,4.802193217,5.590961241,5.232660757,4.882643049,4.995484519,3.797012978,4.300123725,3.797012978
4.977279923,4.419538892,5.061776198,3.321928095,5.845490051,4.797012978,5.343407822,3.321928095,4.584962501,5.539158811,5.61176256,5.289096702,4.439623138,5.48864354,5.749534268,5.529820947,4.300123725,3.64385619,5.371558863,5.432959407,6.159871337,3.321928095,6.397460726,5.617651119,6.123086751,3.40599236,4.906890596,6.112700133,5.472487771,5.997744026,5.22881869,4.749534268,5.520422249,4.321928095,4.683696454,4,6.087462841
3.321928095,3.596935142,3.321928095,3.548436625,3.99095486,4.277984747,5.044394119,5.62935662,3.678071905,3.472487771,3.837943242,6.093813673,3.321928095,5.569855608,4.399171094,3.321928095,3.744161096,4.364572432,5.741466986,3.321928095,3.62058641,3.523561956,5.274261661,3.321928095,3.700439718,6.357552005,3.321928095,5.165911939,3.733354341,3.321928095,4.892391026,4.053111336,3.733354341,4.343407822,6.266786541,7.126188211,4.300123725
7.58345891,7.489446599,8.75788999,10.1009251,9.066896443,8.322829498,10.41076932,7.885086225,6.161887682,8.204082012,7.682994584,11.89671082,10.36632221,8.512542955,7.541483864,6.64385619,5.783980414,11.26579083,10.14822234,8.377644358,10.04001568,5.923624611,8.996049728,8.478162893,10.05893877,6.808642468,8.546122759,9.714588976,8.279378431,10.77988347,8.895726738,6.745506266,8.364134655,10.64349547,7.554588852,7.937815169,9.277984747
7.099084761,8.050936965,7.52277767,8.294620749,8.21916852,6.114783447,8.11113567,6.930737338,6.781359714,7.530601415,6.894817763,9.770829046,7.902676587,8.00506308,8.322378867,7.237448996,6.731997787,9.277054876,8.984418459,7.321026129,8.039467438,7.099084761,7.699745948,7.907491593,7.183883459,6.289096702,8.825594849,7.6395216,7.529040056,9.36128586,7.397460726,5.680886921,7.055282436,8.909893084,6.528258743,7.563768278,7.83541884
7.799605422,7.333602628,7.344295908,5.711494907,7.77807713,6.452858965,5.412781525,6.635173947,6.62497818,7.285402219,7.070389328,7.100136671,5.632268215,8.234098898,7.77478706,6.977279923,5.251719093,6.887525271,7.092757141,7.368069877,6.928370323,6.279842694,5.388878339,6.780047576,6.23457796,6.961160258,6.244125943,4.986410935,8.726899318,7.465974465,7.472487771,6.373300197,5.270528942,6.205548911,6.686500527,6.668175869,7.909893084
6.332707934,5.867896464,5.716990894,5.554588852,6.316507819,4.906890596,3.548436625,5.221103725,5.944858446,4.986410935,5.48864354,3.807354922,3.754887502,5.456149035,4.781359714,5.462706751,3.807354922,3.321928095,4.336283388,5.99095486,4.99095486,5.449561375,5.285402219,3.321928095,5.99095486,3.321928095,5.608809243,5.040015679,5.209453366,3.321928095,5.675251386,6.247927513,5.133399125,3.548436625,3.608809243,4.781359714,4.791814071
6.761551232,6.431288654,6.498250868,7.303780748,6.270528942,6.997744026,8.09592442,10.950483,8.05202456,7.328226119,7.082149041,6.715618859,5.402585758,7.442114122,7.156841525,9.510566389,10.86974805,9.524345816,9.889351853,6.806066226,7.700439718,7.97441459,7.951867504,10.12010825,7.166916252,8.616548844,6.268658955,7.897240426,7.465974465,7.071462363,9.561860708,7.059614856,6.562242424,6.246027981,7.877130729,6.928370323,7.475733431
8.566434646,9.105384749,9.454504938,8.820498107,9.111396532,9.67030217,10.17517526,8.993787563,7.445428759,6.518849829,9.153298683,3.857980995,7.463524373,7.944858446,8.514911265,6.826548487,7.535275377,9.187846909,8.595443985,8.929258409,9.014857381,7.062855655,6.799605422,8.045486656,8.694183743,7.382840144,8.019590728,8.299208018,8.200162974,8.529040056,9.10774017,7.263973355,9.034523875,8.498250868,8.606220121,9.281466436,8.399171094
4.906890596,6.044394119,4.765534746,5.429615964,4.705977902,6.12722055,5.951867504,6.187846909,5.244125943,5.760220946,5.703211467,7.268658955,6.432959407,4.371558863,6.974988112,5.112700133,5.882643049,5.529820947,4.760220946,5.452858965,5.240314329,5.057450272,8.415741768,6.059614856,5.563768278,6.515699838,6.195741293,8.178415874,7.971543554,4.944858446,7.918266959,5.14974712,5.921245889,5.669593751,5.804776378,4.596935142,8.094869433
5.161887682,5.882643049,4.95419631,3.321928095,5.053111336,3.321928095,6.578938713,7.142617655,7.301953395,5.221103725,5.862947248,6.211401637,3.935459748,4.749534268,5.169925001,3.321928095,5.714245518,5.569855608,5.923624611,3.321928095,6.417852515,5.62058641,4.963474124,5.551516018,4.791814071,4.62058641,4.40599236,5.452858965,3.321928095,5.786596362,3.321928095,5.847996907,5.112700133,5.205548911,5.781359714,6.442943496,3.321928095
8.596562497,8.961739073,10.26924359,8.152791852,8.972692654,10.44522182,11.75225519,9.716990894,7.576673293,7.553821257,9.546508661,8.312882955,8.294161219,7.635899466,10.19856782,8.246027981,7.071462363,9.594697827,10.30183911,7.899659026,9.928962441,7.083213368,7.985272714,9.402159367,9.850343134,8.911691582,7.955940451,8.794090898,9.43024345,9.00365845,9.108263075,8.087462841,9.904634622,9.045759661,9.53838296,10.07628117,9.543225198
6.785288981,6.87036472,7.396604781,6.330916878,6.548436625,7.97441459,8.422485316,6.752213368,5.491853096,5.708739041,6.729280846,4.786596362,6.004501392,5.545350645,7.122051448,5.044394119,5.121015401,6.6794801,7.532161085,5.240314329,6.692092375,5.569855608,6.708739041,7.108524457,7.235535607,6.690696444,6.934280594,6.518849829,6.011227255,6.676662335,6.793115555,5.026800059,7.568336182,6.811214118,7.828453874,7.613236955,6.459431619
5.887525271,5.62058641,5.339850003,7.034523875,6.38024459,5.817623258,4.572889668,6.992088609,6.662490364,4.958842675,5.894817763,4.277984747,4.64385619,5.266786541,3.608809243,6.318316841,3.321928095,3.857980995,4.602884409,6.949534933,4.504620392,5.247927513,3.87774425,6.266786541,4.554588852,3.776103988,6.412781525,4.053111336,7.226893814,5.526694846,4.847996907,4.329123596,6.909293086,4.852997588,4.498250868,6.831623937,4.300123725
7.019034669,7.671717965,8.860776616,9.57194221,8.932214752,7.437127844,8.732676223,7.283551423,6.783980414,6.995484519,8.751209288,6.106432078,5.827819025,6.490249211,7.55228484,6.334496768,8.040563711,8.085339669,8.313790025,9.700439718,8.211401637,8.177917792,9.977566144,8.631904587,9.381759231,8.50422312,8.971543554,9.4749227,8.984133595,6.589463893,8.688600011,8.163398094,6.074676686,6.364572432,8.243650042,8.702519029,8.276589716
8.728600811,9.085074053,7.938403424,10.28262513,8.691394579,8.742140985,8.982708429,6.159871337,5.916476644,5.9795681,7.600656308,6.569855608,6.815063017,9.636624621,7.334496768,6.173926932,5.944858446,6.876516947,6.059614856,8.322829498,6.904484098,6.110613806,7.205548911,6.512542955,7.578183968,6.855491443,6.98982022,6.803485376,6.97384084,8.553053253,8.186857067,6.112700133,8.05853297,8.010667963,6.772149591,7.372429792,7.074676686
10.61176256,10.18475139,7.624247146,6.6043679,9.720928243,7.983563697,9.968810768,10.89519657,10.82456103,10.2422214,10.21783656,4.711494907,8.885696373,10.230741,10.07801734,10.29806257,9.350939182,8.887829862,10.00926878,5.911691582,8.752882366,10.09526514,8.423746229,9.886915896,7.083213368,7.982993575,10.49785184,6.850499414,10.12812324,11.09750546,10.39639072,9.995908446,10.20908777,6.777419716,8.58082385,7.492654371,8.955649908
8.987548259,10.78160561,8.805421446,10.06326024,9.236970886,9.909893084,9.80928581,7.887525271,8.311067102,7.325530332,9.026800059,6.5360529,7.943686952,8.499048598,8.475733431,6.861707287,9.432333102,9.203348003,8.763212367,8.842978832,8.160879862,6.672425342,8.813139851,9.78496195,7.866660751,7.915281866,9.525325043,10.09183204,8.209453366,8.361066489,8.445428759,7.875288598,10.21953157,6.857980995,7.826548487,7.655351829,8.953905415
6.053111336,6.655351829,7.427941333,5.752213368,6.089582893,7.976134473,8.871289228,7.960001932,5.419538892,3.321928095,7.528258743,3.321928095,3.765534746,4.765534746,8.305149746,4.529820947,3.321928095,7.729960561,8.659639187,4.277984747,7.87282876,4.300123725,3.95419631,7.004501392,8.47370575,7.417852515,4.906890596,3.786596362,6.875288598,7.357552005,6.50779464,5.087462841,8.409815196,7.279842694,7.567575869,8.574025798,8.071998581
9.12593001,9.285402219,9.276589716,7.175923742,9.066896443,9.019590728,8.702172685,8.117383367,6.419538892,6.827819025,8.212374788,6.431288654,8.0725346,6.678071905,9.942367883,6.744161096,6.789207575,8.06501215,8.286326727,6.653919873,9.30492167,6.928370323,7.477353527,8.505017556,9.478971805,8.563005553,7.327328083,7.946613905,7.966937979,7.998872454,8.621319301,8.042753761,9.995484519,8.607330314,9.385862401,9.738430088,9.119459934
6.055282436,6.491853096,5.371558863,5.765534746,7.04220656,6.114783447,6.199672345,5.125155131,6.292781749,5.852997588,5.557655155,3.857980995,5.984133595,5.181897643,6.175923742,5.332707934,5.897240426,4.277984747,6.482202926,6.439623138,6.159871337,7.316507819,3.321928095,5.981852653,5.343407822,3.44625623,5.995484519,5.95419631,6.04220656,4.827819025,5.993221467,6.309248961,5.776103988,4.655351829,5.730639956,3.321928095,5.722466024
