N0,N242,N1201,N1759,N2048,N2076,[Factor_0]
Serrated CRC,0.251271824,0.383432837,-8.02E-01,-1.33E+00,-1.33E+00,Cluster 1
Serrated CRC,-1.36E+00,0.352284046,-7.58E-01,-1.36E+00,-1.36E+00,Cluster 1
Serrated CRC,-7.77E-01,0.44466783,-7.77E-01,-1.17E+00,-1.14E+00,Cluster 1
Serrated CRC,-1.29E+00,0.231734666,-5.30E-01,-1.29E+00,-1.29E+00,Cluster 1
Serrated CRC,-1.29E+00,0.639423192,-1.29E+00,-1.12E+00,-1.29E+00,Cluster 1
Serrated CRC,-1.24E+00,0.212206343,-1.02E+00,-7.09E-01,-1.24E+00,Cluster 1
Serrated CRC,-1.39E+00,-1.42E-01,-7.88E-01,-4.55E-01,-1.01E+00,Cluster 1
Conventional CRC,-7.99E-01,1.020011734,0.197117852,-6.65E-02,0.026145234,Cluster 2
Conventional CRC,0.603951985,1.530727893,1.166867177,0.006866806,0.349845592,Cluster 2
Conventional CRC,0.387726037,1.340192568,0.064021906,0.054976215,-3.42E-01,Cluster 2
Conventional CRC,-4.84E-01,1.345893299,0.93301777,0.081283354,-7.00E-01,Cluster 2
Conventional CRC,-3.91E-01,0.970724562,0.235961389,-6.91E-01,-8.62E-01,Cluster 2
Conventional CRC,0.085149486,1.875943621,0.768028062,-8.23E-01,0.074363741,Cluster 2
Conventional CRC,0.136483818,0.613762837,0.824764704,0.076525579,0.346242622,Cluster 2
Conventional CRC,-7.22E-01,1.021267102,-1.27E+00,-1.77E-01,0.86365729,Cluster 2
Conventional CRC,-5.09E-01,1.066268636,-8.10E-01,-1.14E-01,-7.65E-01,Cluster 2
Conventional CRC,-3.11E-01,0.978501228,0.626839502,-5.33E-01,-9.40E-01,Cluster 2
Conventional CRC,0.195038728,1.583516006,-4.74E-01,-4.23E-01,-1.58E-01,Cluster 2
Conventional CRC,0.342368971,0.743168123,0.077711567,-9.33E-02,0.677494373,Cluster 2
Conventional CRC,0.795175993,0.805837317,-1.48E-01,-4.85E-02,0.640085016,Cluster 2
Conventional CRC,0.861188601,1.57413717,0.717673027,-1.40E-01,0.473437745,Cluster 2
Conventional CRC,-2.17E-01,2.341216337,-9.69E-01,0.74244893,-8.18E-01,Cluster 2
Conventional CRC,0.487755843,1.251385564,0.540794867,-2.34E-01,0.332588245,Cluster 2
Conventional CRC,0.555781047,1.261672006,0.236386553,-1.01E-01,-3.84E-01,Cluster 2
Conventional CRC,-9.21E-01,1.986609295,0.579246046,-5.53E-01,0.705667269,Cluster 2
Conventional CRC,-9.13E-01,1.030512176,0.404373679,-7.82E-01,0.567452642,Cluster 2
Conventional CRC,-1.00E+00,2.199233464,-1.02E+00,0.189233608,-7.34E-01,Cluster 2
Conventional CRC,0.253044009,2.017188284,0.370015398,-2.19E-03,-1.28E-01,Cluster 2
Conventional CRC,-8.82E-01,1.165679946,0.556198591,-5.59E-01,-6.92E-02,Cluster 2
Conventional CRC,-4.45E-01,0.387960463,0.064831727,-9.45E-01,-9.75E-01,Cluster 2
Conventional CRC,-7.90E-01,0.674557947,0.679250149,-6.52E-01,-1.21E+00,Cluster 2
Conventional CRC,0.286228619,1.66896742,0.085005403,-3.90E-01,0.313989168,Cluster 2
Conventional CRC,0.324029529,0.997099921,0.042832187,0.218590148,-9.08E-01,Cluster 2
Conventional CRC,0.361264942,0.869845816,0.33041842,-5.54E-02,-1.09E+00,Cluster 2
Conventional CRC,0.711726762,1.522185884,0.266254979,-3.87E-01,-9.91E-01,Cluster 2
Conventional CRC,0.186667676,2.00588951,0.493265846,0.491896683,1.022832592,Cluster 2
