N0,N173,N321,N412,N532,N610,N758,N804,N1144,N1207,N1239,N1450,N1630,N1674,N1685,N1779,N1807,N1829,N1834,N1882,N1904,N1909,N1926,N1928,N1962,N2020,N2111,N2121,N2276,N2288,N2354,N2363,N2381,N2408,N2497,N2597,N2626,N2641,N2833,N2855,N3070,N3172,N3179,N3183,N3252,N3344,N3507,N4149,N4242,N4377,N4389,N4438,N4480,N4847,N5022,N5039,N5122,N5593,N5625,N5675,N5772,N5849,N6041,N6049,N6064,N6167,N6169,N6218,N6277,N6281,N6283,N6347,N6477,N6539,N6584,N6596,N6623,N6768,N6854,N6973,[Factor_0]
ALL,-1.37E+00,0.470163538,1.520644803,1.988914703,0.375360549,1.648879155,1.900471281,1.06349427,1.076897275,1.978850901,0.152306557,1.111445188,2.042522464,2.134233424,0.753090209,-5.10E-01,-1.18E+00,0.133657104,-8.05E-01,-7.19E-01,1.19555611,-1.21E-01,1.976365996,1.802934429,0.916017462,1.585825979,1.203497545,-7.31E-01,-1.50E+00,1.875399154,-3.52E-04,1.332260559,1.558600196,-1.35E+00,1.917874343,-4.08E-01,0.830549661,-1.70E-01,0.875319814,0.572090765,0.126919557,0.026725547,1.75503248,-1.21E-01,2.231171072,0.207164219,-7.31E-01,1.933593424,0.94282427,0.475668505,1.612988118,1.638696534,0.159602771,1.266824295,0.721253987,1.468031504,1.898335924,0.85512597,-1.30E+00,1.657150116,0.453927835,-4.85E-01,1.601473939,0.058928777,1.036944899,0.152306557,-5.82E-02,-7.05E-01,0.733853066,1.373525618,0.753090209,0.809144981,-3.34E-01,0.667114316,0.514822654,0.239248146,0.207164219,1.502461447,-2.18E-01,Cluster 1
ALL,-6.30E-01,0.591455628,1.538770685,1.913469028,0.846038601,1.6516236,1.590168246,1.277883509,0.472521055,1.773367894,-1.43E+00,0.181544096,1.922317194,1.999184069,-7.33E-01,0.562797576,-3.83E-01,0.341986861,-2.11E-01,-4.85E-01,0.78594812,-6.92E-01,1.789697248,1.857340473,0.788104757,1.033639918,1.289908758,-2.77E-01,-1.68E+00,0.815012375,1.390890408,0.579561016,1.299665007,-9.90E-01,1.90261534,-7.75E-01,1.214818287,-3.55E-01,0.637750889,-1.60E+00,-2.30E-01,-3.70E-01,1.429862986,-2.03E-01,1.867297829,0.069322669,-6.82E-01,2.15348369,0.996847482,0.300518435,1.590168246,1.88987992,-7.36E-02,1.350851893,0.964151768,1.727806037,1.200962507,0.779738254,-1.18E+00,1.557416712,0.812319682,0.554987702,-1.49E+00,0.672835357,1.863292698,0.721938247,0.144307825,-8.13E-01,0.357686521,1.42015765,1.189114214,1.059171522,0.423729332,0.231295625,0.558888378,0.669312123,0.250661243,0.919768158,0.690801968,Cluster 1
ALL,-1.30E+00,0.340496103,1.436737703,2.034101466,0.583725146,1.776766432,1.824794925,0.340496103,0.596278909,1.90476818,0.310465434,0.43008441,2.15348369,1.891981263,1.198435162,0.257197607,0.276691352,0.132060832,0.37649261,-9.76E-01,0.857916775,-6.17E-01,1.610410922,1.968983615,1.462886689,1.635339789,1.270756181,-6.94E-01,-1.10E+00,1.966546496,0.163164961,1.213348799,1.060713085,0.393532511,2.071690746,-7.32E-01,0.835524177,-4.89E-02,0.827574794,-1.63E+00,-7.01E-01,-2.59E-01,1.324613184,-4.17E-01,2.186818365,0.281626699,-8.06E-01,2.048217985,0.884641309,0.141288511,1.351728023,1.367231316,-9.05E-02,1.369024157,0.721253987,1.563356101,1.289908758,1.073137503,-1.13E+00,1.601473939,0.67482085,1.146694449,1.0703276,-6.37E-01,0.660321474,0.43008441,1.305001694,-5.66E-01,0.590408911,0.938173175,0.656609283,0.762931451,1.713895591,0.122490119,1.25282907,0.640338451,-5.30E-01,1.519528415,-6.94E-01,Cluster 1
ALL,-6.11E-01,0.577898178,1.349976798,2.171704442,0.555603036,1.673327356,1.781903043,0.871972365,1.006136654,1.940479001,-1.01E+00,0.95384934,2.074706478,2.125738509,1.09560858,0.353566334,0.659665722,0.486919963,-7.69E-02,-7.08E-01,0.869917245,0.030770737,1.872346744,1.891981263,1.152481423,1.646147073,1.49221364,0.168690467,0.261561279,1.468031504,1.134230212,1.121609913,1.266824295,0.651601256,1.825724904,-4.49E-01,0.831542917,0.240333742,0.934358046,0.591246233,-6.95E-01,-9.24E-02,1.644785627,-2.65E-01,2.068693738,0.825101322,-4.35E-01,2.085412846,0.867097439,0.683899809,1.620784687,1.048145733,0.713976082,1.065352973,0.607658152,1.49704827,0.803790903,0.736156317,-9.90E-01,1.845629671,0.200881626,0.994538598,0.075139398,-7.79E-01,0.646392852,1.020235518,0.462715198,-2.42E-01,0.847296549,1.137917338,1.157276309,0.9149482,1.072199928,0.415857367,0.544354976,1.04449867,-1.10E+00,1.345616751,-6.11E-01,Cluster 1
ALL,-1.20E+00,0.251931356,1.52738328,2.146391298,0.782123094,2.080795173,1.971432485,0.701779533,0.760112161,1.879496413,-1.21E-01,0.706510139,2.09320923,1.964121002,0.100377179,0.300702366,0.407246947,0.152306557,-1.34E+00,-4.14E-01,1.127565564,-5.40E-01,1.763293322,1.897271483,0.969200938,1.430840953,1.318718347,0.216693534,-1.22E+00,2.028566586,0.43008441,1.079727124,1.057324962,0.681680254,2.119051355,0.26629422,0.955235633,0.097727134,1.386280126,-1.46E-01,-1.01E+00,-5.25E-01,1.545700057,-2.95E-01,1.978850901,0.784034173,-7.79E-01,2.248448235,0.853353466,0.523876116,1.668357525,1.761631517,0.882303751,1.08193411,0.623167649,1.416312714,1.191256021,1.338262833,-9.40E-01,1.947457828,0.392203143,0.964151768,0.189592737,0.125679067,0.885161423,0.679907026,-5.19E-01,-5.98E-01,0.985641308,1.423055189,1.47425703,1.1302254,0.444787182,0.125679067,1.144661132,1.4446786,-1.42E-02,1.529644925,0.250661243,Cluster 1
ALL,-7.34E-01,0.360499221,1.177430541,2.090075419,0.584350638,2.099539239,1.724685902,0.959962828,1.128894484,1.883625468,-9.17E-01,0.880488978,1.777619282,2.031326247,1.231534132,0.499627153,0.25956065,0.474684422,0.484546155,-1.24E+00,2.023093163,-2.83E-01,1.961707008,2.132522095,0.98764354,0.515424899,1.68849027,-5.61E-01,-9.90E-01,1.90476818,-1.82E-01,1.243252714,1.388581578,-1.13E+00,1.859317235,-7.18E-01,0.696616346,-6.91E-01,0.499627153,0.736156317,-7.66E-01,-1.40E+00,1.591414418,-1.35E-01,1.826656465,0.354315011,-5.81E-01,2.122383069,0.714656775,0.083957535,1.577840189,1.627357923,-1.39E+00,0.855379404,0.486722041,1.569953773,1.45422833,1.07815392,-1.49E+00,1.713895591,0.545374664,-6.66E-01,1.460328738,-7.98E-01,1.368575534,0.344784086,-3.66E-01,-2.55E-01,0.421038415,1.679778495,0.839768829,0.505211897,0.550890829,0.647910153,0.26228904,0.203573181,-1.07E+00,1.325882367,0.560121936,Cluster 1
ALL,0.610833004,0.159780832,1.455241308,2.122383069,0.818939605,1.920091031,1.877443844,1.020235518,0.96052038,1.828524357,0.318593124,1.173571507,1.956913034,1.536477233,-4.69E-01,-5.44E-01,1.002062002,-1.05E-01,-1.34E+00,-4.01E-01,2.083868681,-7.21E-01,1.797601718,2.235428129,0.314341967,1.432801003,1.442187294,0.785230053,-1.28E+00,2.048217985,1.002062002,1.569351157,1.315788037,1.53021156,1.964121002,0.247578363,1.283071676,0.296107132,0.895089523,0.386892571,-1.13E-01,-1.28E+00,1.569351157,-2.80E-01,2.034101466,0.580184993,-7.89E-01,2.065715198,0.610833004,0.322479648,1.434766574,0.360499221,0.497238463,0.8903758,0.374417531,1.385820716,1.408685038,1.481593122,-6.48E-01,1.935878429,0.446340394,0.972298741,-2.03E+00,0.695048627,1.750132893,0.043261531,0.740543292,-6.72E-01,1.022308584,1.371271414,1.052418338,0.497238463,0.785230053,0.333982875,0.855632893,0.635382702,-1.77E-01,1.533052133,-5.26E-02,Cluster 1
ALL,0.103027928,-2.35E-01,1.681221615,1.978850901,0.583933618,1.935878429,1.737268782,1.212615036,0.928931333,1.626697431,-3.58E-01,0.782123094,2.146391298,2.109194924,1.42450845,-1.85E-01,1.028554311,-9.54E-02,-1.03E+00,0.041853816,1.389504221,-3.11E-01,1.68849027,1.956913034,1.400669434,1.277485842,1.537622948,0.249391535,-1.10E+00,1.891981263,0.54639492,1.11667709,1.276294052,0.053118091,1.885702097,-4.09E-01,1.075642328,-3.47E-01,0.749360318,0.979090189,-5.43E-01,-1.45E+00,1.570556959,0.189413747,2.086962,0.579145156,-4.40E-01,2.03969937,1.066904708,0.021274015,1.369024157,1.519528415,-8.32E-01,-8.77E-01,0.705156928,1.69733211,0.991372512,0.972862981,-6.00E-01,1.911280224,0.163521293,0.329339244,1.202410154,0.708994393,1.832279397,0.062803661,2.083868681,-2.11E-01,0.589153703,1.63200137,1.233412783,0.430855899,1.61947841,0.760112161,0.944196126,0.565064729,-6.61E-01,1.718495524,0.753323675,Cluster 1
ALL,0.359186274,0.333982875,1.37623991,2.056887879,0.79002485,1.913469028,1.983857687,1.193045044,1.159339427,1.935878429,-7.92E-01,1.022605095,2.023093163,2.142885205,-7.64E-01,-1.79E-01,1.141282747,0.203034753,0.941728062,-1.79E+00,1.591414418,-3.18E-01,1.931318469,1.938173588,0.854365997,1.507371233,1.419194448,-2.79E-01,-6.30E-01,2.020379024,-5.29E-02,1.362323527,1.524567166,0.539468316,1.949805325,-1.34E-02,0.971452961,1.246304719,0.949701412,0.145551453,-5.93E-01,0.705382373,1.570556959,-9.24E-01,2.168002353,0.578313737,-6.68E-01,2.062754871,0.748196864,0.60681256,1.819247921,1.881556931,-1.22E+00,1.17287174,0.519243473,1.280672854,1.610410922,1.543382027,-8.82E-01,1.898335924,0.125679067,0.609774037,2.009668702,0.044317373,0.715110755,0.383862859,0.279797999,-1.66E+00,1.148392509,1.443182742,1.352166478,0.333982875,0.176184893,0.474881202,1.257466798,0.120010689,-2.51E-01,1.653000501,0.352256627,Cluster 1
ALL,0.2184937,0.774032642,1.634002235,1.853408582,0.668432613,2.056887879,1.770832367,0.763166665,0.84956424,1.885702097,0.120896114,0.861733224,2.142885205,2.210470572,-1.04E+00,0.305488156,1.042680339,0.145196108,0.00070322,-1.91E+00,1.523444098,-2.47E-01,1.750132893,1.999184069,0.639691159,1.373074219,1.541648931,0.337516852,-5.29E-01,2.071690746,0.086780685,1.283472198,1.287891599,0.875319814,1.968983615,0.033409172,0.760112161,0.15853451,1.012280148,0.284005419,-9.07E-01,0.305488156,1.682668245,-2.84E-01,2.182992933,1.100749374,-8.76E-01,2.014994971,1.153164784,0.471734925,1.695849243,1.834166647,-6.87E-01,1.094008009,0.88854802,1.333542719,1.214450669,1.435751441,-5.75E-01,1.819247921,0.249572897,1.403959056,-1.57E+00,0.413175294,0.78188441,0.313787889,0.100730571,-1.58E+00,0.8903758,1.264865675,1.519528415,0.916552487,0.79725131,0.573748049,1.070639394,0.61443863,-3.67E-01,1.460839564,-2.01E-01,Cluster 1
